status,code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,result,strategy,confidence,rs_score,day_volume,name,lots,odd_lot,cost,fee_buy,fee_sell,tax,fee_tax_total,gross_pnl_dollars,pnl_dollars,net_pnl_dollars
已實現,1303,2025-08-12,2025-09-01,40.7313,42.415,4.13,20,時間停損,ema_trend,0.96,0.42395339576592767,164895.0,南亞,1,False,40731.0,58.0,60.0,127.0,246.0,1684.0,1438.0,1438.0
已實現,2027,2025-08-12,2025-08-29,41.6331,38.225847096,-8.18,17,停損,ema_trend,0.94,0.204138500040574,37692.0,大成鋼,1,False,41633.0,59.0,54.0,115.0,228.0,-3407.0,-3636.0,-3636.0
已實現,8046,2025-08-12,2025-08-20,181.863,166.97933208,-8.18,8,停損,ema_trend,1.0,0.18123898299496988,10130.0,南電,261,True,47466.0,68.0,62.0,131.0,260.0,-3885.0,-4145.0,-4145.0
已實現,2317,2025-08-12,2025-09-01,198.897,198.103,-0.4,20,時間停損,ema_trend,0.85,0.15465001923609173,37740.0,鴻海,167,True,33216.0,47.0,47.0,99.0,194.0,-133.0,-326.0,-326.0
已實現,3037,2025-08-12,2025-09-01,142.785,134.231,-5.99,20,時間停損,ema_trend,1.0,0.07783737567272413,21226.0,欣興,163,True,23274.0,33.0,31.0,66.0,130.0,-1394.0,-1524.0,-1524.0
已實現,1528,2025-08-13,2025-09-02,18.7374,17.2654,-7.86,20,時間停損,ema_trend,1.0,0.4624918032786888,46681.0,恩德,870,True,16302.0,23.0,21.0,45.0,90.0,-1281.0,-1370.0,-1370.0
已實現,1717,2025-08-15,2026-02-06,35.571,53.9918,51.79,175,追蹤停利,ema_trend,1.0,0.379375102937691,108395.0,長興,320,True,11383.0,20.0,25.0,52.0,96.0,5895.0,5798.0,5798.0
已實現,2402,2025-08-19,2025-09-08,58.617,54.89,-6.36,20,時間停損,ema_trend,0.85,0.374625944513156,50610.0,毅嘉,256,True,15006.0,21.0,20.0,42.0,84.0,-954.0,-1038.0,-1038.0
已實現,6672,2025-08-22,2025-09-23,99.198,102.295,3.12,32,時間停損,ema_trend,0.85,0.30606783253842074,4758.0,騰輝電子-KY,237,True,23510.0,34.0,35.0,73.0,141.0,734.0,593.0,593.0
已實現,2634,2025-08-29,2025-09-02,63.827400000000004,58.603765584,-8.18,4,停損,ema_trend,1.0,0.3119482301427369,218016.0,漢翔,436,True,27829.0,40.0,36.0,77.0,153.0,-2278.0,-2430.0,-2430.0
已實現,8046,2025-09-01,2025-09-01,220.44,202.3991904,-8.18,0,停損,ema_trend,1.0,0.21203935944433727,25014.0,南電,220,True,48497.0,69.0,63.0,134.0,266.0,-3969.0,-4235.0,-4235.0
已實現,8039,2025-09-08,2025-09-11,65.13,59.799760799999994,-8.18,3,停損,ema_trend,1.0,0.39855470468037485,19467.0,台虹,1,False,65130.0,93.0,85.0,179.0,357.0,-5330.0,-5688.0,-5688.0
已實現,2344,2025-09-09,2026-02-06,24.4488,97.6044,299.22,150,追蹤停利,ema_trend,1.0,0.40433236551071694,237398.0,華邦電,2,False,48898.0,70.0,278.0,586.0,933.0,146311.0,145378.0,145378.0
已實現,4977,2025-09-09,2025-09-15,130.761,120.05951976,-8.18,6,停損,ema_trend,1.0,0.37640882727983216,24807.0,眾達-KY,288,True,37659.0,54.0,49.0,104.0,207.0,-3082.0,-3289.0,-3289.0
已實現,9933,2025-09-10,2025-09-30,32.8656,31.586699999999997,-3.89,20,時間停損,ema_trend,0.91,0.11374946954207009,6608.0,中鼎,802,True,26358.0,38.0,36.0,76.0,150.0,-1026.0,-1175.0,-1175.0
已實現,2313,2025-09-10,2025-09-26,78.25619999999999,71.851712592,-8.18,16,停損,ema_trend,0.95,0.10248369155457443,30724.0,華通,236,True,18468.0,26.0,24.0,51.0,101.0,-1511.0,-1613.0,-1613.0
已實現,1711,2025-09-11,2025-09-12,22.044,20.23991904,-8.18,1,停損,ema_trend,1.0,0.24537169091180744,36052.0,永光,1,False,22044.0,31.0,29.0,61.0,121.0,-1804.0,-1925.0,-1925.0
已實現,8028,2025-09-11,2025-09-15,182.865,167.8993284,-8.18,4,停損,ema_trend,0.87,0.21483695827812427,17784.0,昇陽半導體,132,True,24138.0,34.0,32.0,66.0,132.0,-1975.0,-2108.0,-2108.0
已實現,2402,2025-09-11,2025-09-15,58.817400000000006,54.00378398400001,-8.18,4,停損,ema_trend,0.88,0.19385874445616505,13351.0,毅嘉,287,True,16881.0,24.0,22.0,46.0,93.0,-1382.0,-1474.0,-1474.0
已實現,8039,2025-09-15,2025-09-26,66.132,60.719757120000004,-8.18,11,停損,ema_trend,0.94,0.31307888999180344,27238.0,台虹,986,True,65206.0,93.0,85.0,180.0,358.0,-5336.0,-5694.0,-5694.0
已實現,2408,2025-09-16,2026-03-04,65.13,234.031,259.33,169,追蹤停利,ema_trend,0.91,0.2819726954478544,442109.0,南亞科,2,False,130260.0,186.0,667.0,1404.0,2257.0,337802.0,335545.0,335545.0
已實現,2634,2025-09-16,2025-09-25,64.0278,58.787764848,-8.18,9,停損,ema_trend,0.87,0.21534333958724194,22752.0,漢翔,1,False,64028.0,91.0,84.0,176.0,351.0,-5240.0,-5591.0,-5591.0
已實現,8028,2025-09-17,2025-10-08,175.35,175.149,-0.11,21,時間停損,ema_trend,0.85,0.17537593984962413,8647.0,昇陽半導體,600,True,105210.0,150.0,150.0,315.0,615.0,-121.0,-736.0,-736.0
已實現,6770,2025-09-17,2026-03-04,18.6372,61.2772,228.79,168,追蹤停利,ema_trend,0.87,0.09993734335839606,163320.0,力積電,3,False,55912.0,80.0,262.0,551.0,893.0,127920.0,127027.0,127027.0
已實現,3006,2025-09-18,2026-03-04,68.637,146.207,113.01,167,追蹤停利,ema_trend,0.85,0.19358293129386306,45216.0,晶豪科,829,True,56900.0,81.0,173.0,364.0,617.0,64306.0,63688.0,63688.0
已實現,3149,2025-09-23,2025-09-24,46.092,42.31983072,-8.18,1,停損,ema_trend,0.96,0.13166641938867674,22195.0,正達,1,False,46092.0,66.0,60.0,127.0,253.0,-3772.0,-4025.0,-4025.0
已實現,3711,2025-09-24,2025-10-14,175.35,169.161,-3.53,20,時間停損,ema_trend,0.95,0.0630840675594007,17026.0,日月光投控,261,True,45766.0,65.0,63.0,132.0,261.0,-1615.0,-1876.0,-1876.0
已實現,2324,2025-09-25,2025-09-30,35.3205,32.42987028,-8.18,5,停損,ema_trend,1.0,0.13025606469002698,276246.0,仁寶,1,False,35320.0,50.0,46.0,97.0,194.0,-2891.0,-3084.0,-3084.0
持倉中,2337,2025-10-08,2026-03-27,26.6031,124.75,368.93,170,回測結束,ema_trend,1.0,0.15772831258833309,64841.0,旺宏,5,False,133016.0,190.0,889.0,1871.0,2950.0,490734.0,487785.0,487785.0
已實現,4967,2025-10-09,2026-03-03,113.226,191.61599999999999,69.23,145,追蹤停利,ema_trend,1.0,0.300462355513902,61944.0,十銓,836,True,94657.0,135.0,228.0,481.0,844.0,65534.0,64690.0,64690.0
已實現,1605,2025-10-09,2025-10-14,31.162200000000002,28.611885552000004,-8.18,5,停損,ema_trend,1.0,0.19761591356633637,352694.0,華新,2,False,62324.0,89.0,82.0,172.0,342.0,-5101.0,-5443.0,-5443.0
已實現,8046,2025-10-13,2025-11-19,241.482,250.498,3.73,37,時間停損,ema_trend,1.0,0.29736024844720493,29037.0,南電,197,True,47572.0,68.0,70.0,148.0,286.0,1776.0,1490.0,1490.0
已實現,2330,2025-10-13,2025-11-05,1392.78,1457.08,4.62,23,時間停損,ema_trend,0.89,0.057142857142857106,53850.0,台積電,23,True,32034.0,46.0,48.0,101.0,194.0,1479.0,1285.0,1285.0
已實現,1605,2025-10-21,2025-11-05,30.9618,27.944,-9.75,15,停損(跳空),ema_trend,0.86,0.22899882671179628,114104.0,華新,1,False,30962.0,44.0,40.0,84.0,168.0,-3018.0,-3186.0,-3186.0
已實現,3231,2025-10-21,2025-11-05,146.793,134.77946088000002,-8.18,15,停損,ema_trend,0.86,0.07349026567148599,62220.0,緯創,343,True,50350.0,72.0,66.0,139.0,276.0,-4121.0,-4397.0,-4397.0
已實現,6282,2025-10-22,2025-11-11,38.6772,39.0717,1.02,20,時間停損,ema_trend,0.89,0.19242489311275307,108515.0,康舒,911,True,35235.0,50.0,51.0,107.0,208.0,359.0,152.0,152.0
